before,1,2,3
dokdo Island,the  Dokdo Islands,,
Dokdo Island,the  Dokdo Islands,,
hypothesized,hypothesised,,
fermenation ,fermentation ,,
organic acid,organic acids,,
21  days-old,21  days old,,
optimization,optimisation,,
localization,localisation,,
has come out,has emerged,,
reduction of,decrease in,,
in spite of ,despite,,
comprised of,composed,,
carried out,conducted,implemented,performed
by contrast,Conversely,,
By contrast,Conversely,,
generalized,generalised,,
our finding,our findings,,
throughtput,throughput,,
relating to,related to,,
neglectable,negligible,,
upper layer,supernatant,,
non-matured,immature,,
in this way,in this manner,,
environment,condition,,
as you said,Following your suggestions,,
As you said,Following your suggestions,,
post partum,postpartum,,
in terms of,with regard to,,
even at the,at any given,,
time period,period,,
interrogate,determine,,
in addition,A total of,,
In addition,A total of,Furthermore,
furthermore,Moreover,In addition,Thereafter
Furthermore,Moreover,In addition,Thereafter
researches,studies     ,,
especially,In particular,,
Especially,In particular,,
our result,Our findings,,
Our result,Our findings,,
respective,appropriate,,
university,University,,
univeristy,University,,
Univeristy,University,,
townswndii,townsendii,,
probiotics,probiotic,,
washed out,rinsed,,
the proper,Appropriate,,
The proper,Appropriate,,
not enough,insufficient,,
have shown,resulted in,,
half years,6 month,,
expecially,Particularly,,
Expecially,Particularly,,
capability,ability,,
apart from,Besides,,
Apart from,Besides,,
afterwards,Then,,
Afterwards,Then,,
after then,thereafter,,
after that,Subsequently,,
After that,Subsequently,,
resiliency,resilient,resilience,
mounted up,increased,,
in results,in the results,,
related in,associated with,,
other hand,contrary,,
obligatory,essential,,
is absence,is lacking,is absent,
basically,essentially,primarily,fundamentally
assisting,facilitating,,
as result,Thus,As a result,as result
As result,Thus,As a result,
neighnour,neighbour,,
key words,Keywords,,
Key words,Keywords,,
silanized,silanised,,
PH values,the PH levels,,
kncokdown,knockdown,,
important,significant,,
got older,aged,,
determine,evaluate,,
carry out,perform,,
best time,optimal time,,
above all,In particular,,
Above all,In particular,,
abilities,capacity,,
supplying,providing,,
seriously,dramatically ,,
above two,both,,
responses,differentation,,
promoting,inducing,,
performed,conducted,,
only show,show only,,
evidenced,observed,proved,
even more,Moreover,,
Even more,Moreover,,
apoptotic,apoptosis,,
analyzed,analysed,,
indicate,suggest,,
focussed,focused,,
moreover,Additionally,Subsequently,
Moreover,Additionally,Subsequently,
finished,completed,,
couldnot,cannot,could not,
turkey's,Tukey's,,
minimzed,minimised,,
utilizes,utilised,,
secondly,Furthermore,,
Secondly,Furthermore,,
multiple,various,,
Multiple,Various,,
inserted,introduced,,
happened,occurred,,
faced by,encountered with,,
consider,believe,,
appeared,observed,,
although,Nevertheless,,
Although,Nevertheless,,
accident,incident,,
a little,slight,,
A little,Slight,,
robustly,dramatically,substantially,
opens up,provide,,
superior,higher,,
revealed,confirmed,,
presents,represents,,
owing to,due to,,
lead to ,result in,associated with,
totally,completely,In total,
suggest,indicated,demonstrated,
done by,performed using,conducted by,
briefly,In brief,Subsequently,
Briefly,In brief,Subsequently,
besides,in addition to,In addition,
address,investigate,,
through,during,using,
such as,including,,
portion,section,,
biopart,biocomponent,,
naphtol,naphthol,,
usually,Typically,,
Usually,Typically,,
special,specific,,
SE Asia,South East (SE) Asia,South East Asia,
rescued,salvaged,,
lowered,reduced,,
lots of,various,,
impacts,effect,,
conduct,perform,,
compare,assess,,
biggest,greatest,,
assumed,considered,,
whereas,In contrast,,
Whereas,In contrast,,
started,began,,
cut off,cutoff,,
thereby,therefore,,
linking,associating,,
arising,increasing,,
though,although,,
solely,exclusively,,
namely,called,,
enough,sufficient,adequate,
thrice,three times,,
regent,reagent,,
preper,appropriate,,
outlie,outlier,,
viewed,considered,,
tested,examined,,
showed,displayed,demonstrated,presented
mostly,primarily,,
manner,approach,,
dyeing,staining,,
due to,given,,
Due to,Given,,
create,develop,,
costly,expensive,,
change,alter,,
bought,purchased,,
better,optimal,,
around,approximately,,
proven,shown,,
mainly,primarily,,
little,slight,slightly,few
jugged,seen,,
parts,components,,
since,because,given that,as
Since,Because,Given that,As
shows,exhibited,,
vers.,version,,
imply,indicate,,
study,research,experiment,
about,approximately,,
while,further,however,
While,Further,However,
asked,investigated,,
judge,observe,,
known,recognized,,
whole,entire,,
tried,attempted,,
sheet,layer,,
paper,manuscript,,
infer,indicate,,
ideas,concepts,,
check,evaluate,investigate,
breed,reproduce,,
solve,overcome,,
right,correct,,
might,can,,
also,In addition,,
Also,In addition,,
then,Afterward,Subsequently,
Then,Afterward,Subsequently,
last,final,,
give,obtain,provide,
fig.,Fig.,,
past,previous,,
need,require,,
many,several,,
like,such as,,
huge,vast,,
Here,In the study,in this review,
find,identify,,
fast,rapid,,
draw,illustrate,,
next,subsequently,,
Next,Subsequently,,
keep,maintain,,
but,However,,
and,in addition,also,
And,In addition,also,
big,large,,
7th,seventh,7th,
run,performed,,
see,observe,,
rat,mouse,,
PCR,polymerized chain reaction  ,polymerase chain reaction,
Ltd,Ltd.,,
via,using,,
see,identify,,
4-y,4-year,,
2-y,2-year,,
KD,knockdown,,
20,twenty,20,
do,perform,,
So,Therefore,Thus,Hence
so,thus,,
3,three,3,
2,two,2,
7,seven,7,
9,nine,9,
6,six,6,
4,four,4,
1,one,1,
5,five,5,
